* Measurement data saved by REW V5.01 Beta 24
* Source: Microphone (2- USB Audio CODEC , MICROPHONE (Master Volume), Right channel, volume: 0.251
* Format:  512k Log Swept Sine, 1 sweep at -12.0 dB FS
* Dated: 07-Feb-2015 13:10:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 30
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 59.9 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
59.932 60.218 81.310
60.804 60.334 81.059
61.688 60.445 80.785
62.586 60.550 80.529
63.496 60.652 80.275
64.420 60.760 80.026
65.357 60.869 79.789
66.307 60.981 79.542
67.272 61.088 79.275
68.250 61.196 78.959
69.243 61.300 78.679
70.250 61.415 78.385
71.272 61.518 78.064
72.309 61.603 77.790
73.360 61.692 77.682
74.427 61.845 77.219
75.510 61.965 76.938
76.608 62.085 76.676
77.723 62.196 76.383
78.853 62.302 76.091
80.000 62.408 75.812
81.164 62.524 75.479
82.344 62.636 75.153
83.542 62.749 74.844
84.757 62.866 74.535
85.990 62.981 74.196
87.241 63.106 73.877
88.510 63.220 73.553
89.797 63.330 73.192
91.103 63.445 72.850
92.428 63.563 72.494
93.773 63.679 72.143
95.137 63.801 71.771
96.520 63.909 71.429
97.924 64.030 71.075
99.349 64.154 70.674
100.794 64.275 70.318
102.260 64.390 69.919
103.747 64.516 69.539
105.256 64.641 69.148
106.787 64.758 68.733
108.340 64.881 68.366
109.916 65.007 67.965
111.515 65.122 67.551
113.137 65.234 67.153
114.783 65.354 66.701
116.452 65.471 66.252
118.146 65.589 65.822
119.865 65.702 65.397
121.608 65.821 64.953
123.377 65.939 64.506
125.171 66.057 64.059
126.992 66.170 63.579
128.839 66.287 63.093
130.713 66.399 62.627
132.615 66.518 62.134
134.543 66.636 61.659
136.500 66.747 61.155
138.486 66.861 60.630
140.500 66.978 60.118
142.544 67.092 59.621
144.617 67.220 59.276
146.721 67.321 58.522
148.855 67.434 58.023
151.020 67.544 57.499
153.217 67.660 56.919
155.445 67.777 56.353
157.706 67.889 55.791
160.000 68.002 55.211
162.327 68.117 54.600
164.688 68.231 54.007
167.084 68.341 53.398
169.514 68.447 52.788
171.980 68.558 52.172
174.481 68.668 51.543
177.019 68.779 50.932
179.594 68.885 50.273
182.206 68.994 49.609
184.856 69.099 48.937
187.545 69.207 48.286
190.273 69.316 47.573
193.041 69.420 46.887
195.849 69.523 46.208
198.697 69.630 45.468
201.587 69.731 44.780
204.520 69.836 44.035
207.494 69.935 43.320
210.512 70.039 42.579
213.574 70.139 41.817
216.681 70.233 41.065
219.833 70.330 40.284
223.030 70.431 39.468
226.274 70.528 38.707
229.565 70.618 37.901
232.905 70.712 37.085
236.292 70.801 36.263
239.729 70.888 35.453
243.216 70.978 34.620
246.754 71.070 33.758
250.343 71.159 32.923
253.984 71.232 32.073
257.678 71.308 31.158
261.426 71.386 30.297
265.229 71.465 29.414
269.087 71.545 28.517
273.001 71.617 27.595
276.972 71.692 26.698
281.000 71.761 25.788
285.088 71.833 24.830
289.234 71.924 23.899
293.441 72.017 22.960
297.709 72.102 22.000
302.040 72.186 21.070
306.433 72.255 20.098
310.890 72.325 19.165
315.412 72.386 18.159
320.000 72.449 17.168
324.655 72.493 16.235
329.377 72.538 15.222
334.168 72.583 14.256
339.028 72.620 13.264
343.959 72.665 12.282
348.962 72.700 11.265
354.038 72.740 10.299
359.188 72.774 9.304
364.412 72.804 8.301
369.713 72.831 7.255
375.090 72.862 6.262
380.546 72.891 5.236
386.081 72.920 4.259
391.697 72.948 3.263
397.394 72.973 2.237
403.175 72.999 1.227
409.039 73.027 0.205
414.989 73.058 -0.777
421.025 73.087 -1.801
427.149 73.121 -2.831
433.362 73.147 -3.833
439.665 73.175 -4.810
446.060 73.192 -5.844
452.548 73.211 -6.877
459.131 73.223 -7.916
465.809 73.242 -8.921
472.584 73.250 -9.975
479.458 73.266 -11.003
486.432 73.276 -12.041
493.507 73.287 -13.115
500.686 73.298 -14.166
507.968 73.312 -15.258
515.357 73.317 -16.310
522.853 73.333 -17.400
530.458 73.341 -18.496
538.174 73.357 -19.619
546.002 73.369 -20.767
553.943 73.392 -21.922
562.001 73.416 -23.079
570.175 73.417 -24.265
578.469 73.427 -25.474
586.883 73.437 -26.736
595.419 73.441 -27.979
604.080 73.438 -29.263
612.866 73.445 -30.525
621.780 73.445 -31.827
630.824 73.444 -33.202
640.000 73.431 -34.522
649.309 73.430 -35.961
658.753 73.417 -37.369
668.335 73.408 -38.832
678.056 73.386 -40.328
687.919 73.349 -41.742
697.925 73.305 -43.320
708.077 73.271 -44.857
718.376 73.245 -46.433
728.825 73.214 -48.036
739.426 73.190 -49.641
750.181 73.146 -51.281
761.093 73.102 -52.950
772.163 73.055 -54.581
783.394 73.003 -56.341
794.789 72.947 -58.036
806.349 72.881 -59.780
818.078 72.838 -61.553
829.977 72.830 -63.334
842.050 72.815 -65.125
854.298 72.748 -66.902
866.724 72.663 -68.746
879.330 72.579 -70.595
892.120 72.491 -72.479
905.097 72.397 -74.326
918.262 72.308 -76.159
931.618 72.208 -78.033
945.169 72.110 -79.885
958.917 72.014 -81.817
972.864 71.918 -83.726
987.015 71.820 -85.552
1001.371 71.716 -87.435
1015.937 71.624 -89.397
1030.714 71.530 -91.288
1045.706 71.441 -93.275
1060.916 71.366 -95.266
1076.347 71.283 -97.262
1092.003 71.227 -99.305
1107.887 71.199 -101.491
1124.001 71.150 -103.646
1140.350 71.109 -105.966
1156.937 71.051 -108.253
1173.765 71.010 -110.720
1190.838 70.974 -113.257
1208.159 70.967 -115.965
1225.732 70.937 -118.653
1243.561 70.912 -121.554
1261.649 70.880 -124.524
1280.000 70.847 -127.590
1298.618 70.818 -130.756
1317.507 70.785 -134.067
1336.670 70.745 -137.377
1356.113 70.708 -140.823
1375.838 70.674 -144.264
1395.850 70.648 -147.839
1416.153 70.609 -151.399
1436.751 70.584 -155.000
1457.649 70.560 -158.687
1478.851 70.538 -162.331
1500.362 70.529 -166.016
1522.185 70.539 -169.770
1544.326 70.554 -173.564
1566.789 70.569 -177.389
1589.578 70.599 178.679
1612.699 70.642 174.719
1636.156 70.679 170.663
1659.955 70.723 166.541
1684.099 70.784 162.365
1708.595 70.834 158.081
1733.447 70.881 153.752
1758.661 70.910 149.373
1784.241 70.936 144.949
1810.193 70.930 140.524
1836.523 70.930 136.047
1863.236 70.895 131.617
1890.337 70.845 127.290
1917.833 70.752 122.977
1945.729 70.660 118.869
1974.030 70.523 114.889
2002.743 70.373 111.129
2031.873 70.215 107.585
2061.428 70.025 104.260
2091.412 69.825 101.131
2121.832 69.591 98.321
2152.695 69.364 95.741
2184.006 69.131 93.503
2215.774 68.903 91.443
2248.003 68.710 89.800
2280.701 68.524 88.404
2313.874 68.380 87.236
2347.530 68.291 86.143
2381.676 68.206 85.173
2416.318 68.145 84.232
2451.464 68.109 83.140
2487.122 68.089 81.964
2523.298 68.057 80.820
2560.000 68.002 79.639
2597.236 67.951 78.409
2635.014 67.878 77.312
2673.341 67.792 76.322
2712.226 67.691 75.474
2751.676 67.576 74.910
2791.700 67.456 74.449
2832.306 67.343 74.406
2873.503 67.262 74.561
2915.299 67.192 75.131
2957.703 67.165 75.878
3000.724 67.223 76.825
3044.370 67.343 77.897
3088.652 67.537 78.920
3133.577 67.818 79.480
3179.156 68.135 79.689
3225.398 68.487 79.319
3272.312 68.831 78.335
3319.909 69.114 76.794
3368.198 69.349 74.839
3417.190 69.493 72.573
3466.894 69.532 70.149
3517.321 69.431 67.998
3568.482 69.251 66.527
3620.387 69.042 65.811
3673.046 68.868 65.932
3726.472 68.688 66.696
3780.675 68.643 67.810
3835.666 68.682 69.406
3891.457 68.747 71.319
3948.060 69.024 72.720
4005.486 69.472 73.156
4063.747 69.900 72.459
4122.855 70.155 70.989
4182.824 70.406 69.270
4243.664 70.531 67.637
4305.390 70.671 66.418
4368.013 70.828 65.259
4431.547 70.965 64.047
4496.006 71.037 62.955
4561.401 71.160 62.349
4627.749 71.333 61.844
4695.061 71.589 60.836
4763.352 71.832 59.034
4832.636 72.000 56.672
4902.929 72.061 54.088
4974.244 72.001 52.342
5046.596 71.876 50.713
5120.000 71.815 49.365
5194.472 71.737 48.234
5270.027 71.718 47.889
5346.682 71.780 47.565
5424.451 71.906 47.013
5503.352 72.080 45.751
5583.400 72.203 44.231
5664.612 72.290 42.508
5747.006 72.354 40.649
5830.598 72.368 38.671
5915.406 72.320 37.127
6001.447 72.254 35.987
6088.740 72.178 34.421
6177.303 72.074 32.296
6267.154 71.883 29.761
6358.312 71.692 27.397
6450.796 71.422 25.395
6544.625 71.092 23.605
6639.819 70.766 21.935
6736.397 70.330 21.247
6834.380 69.903 21.415
6933.788 69.558 21.931
7034.643 69.228 23.799
7136.964 69.126 26.809
7240.773 69.338 28.438
7346.093 69.652 28.334
7452.944 69.816 26.879
7561.350 69.780 25.252
7671.332 69.618 24.542
7782.914 69.511 24.883
7896.119 69.510 24.626
8010.971 69.391 23.893
8127.493 69.317 24.147
8245.710 68.964 24.383
8365.647 68.666 26.143
8487.328 68.692 28.205
8610.779 69.147 28.072
8736.026 69.467 26.805
8863.094 69.657 25.703
8992.011 69.650 24.700
9122.803 69.883 23.915
9255.497 70.240 21.449
9390.121 70.356 18.414
9526.704 70.430 16.462
9665.273 70.449 14.086
9805.858 70.516 11.620
9948.487 70.449 8.110
10093.191 70.115 5.589
10240.000 69.881 5.240
10388.944 69.783 4.596
10540.055 69.698 4.079
10693.364 69.584 3.268
10848.902 69.509 4.086
11006.703 69.702 4.972
11166.799 70.090 4.983
11329.224 70.591 3.069
11494.011 70.903 -0.359
11661.196 70.999 -3.565
11830.812 71.000 -6.389
12002.895 71.109 -8.674
12177.481 71.156 -11.279
12354.606 71.332 -13.694
12534.308 71.625 -17.488
12716.624 71.836 -23.523
12901.592 71.555 -30.714
13089.250 70.906 -36.599
13279.637 69.960 -39.602
13472.794 69.265 -39.625
13668.760 68.973 -39.627
13867.577 68.512 -41.619
14069.285 67.823 -41.291
14273.928 67.377 -38.254
14481.547 67.604 -35.462
14692.186 68.018 -35.574
14905.889 68.307 -37.954
15122.700 68.364 -38.508
15342.664 68.829 -39.988
15565.829 69.159 -45.880
15792.239 68.808 -50.380
16021.942 68.760 -51.319
16254.987 69.203 -54.952
16491.421 69.250 -61.848
16731.294 68.745 -68.556
16974.657 67.971 -71.476
17221.559 67.882 -69.828
17472.052 68.641 -75.102
17726.189 68.338 -86.998
17984.022 67.264 -93.866
18245.606 66.165 -98.623
18510.994 64.839 -97.847
18780.243 64.828 -96.337
19053.408 64.742 -100.772
19330.546 64.469 -106.237
19611.715 63.673 -113.048
19896.974 62.418 -117.438
20186.382 61.455 -119.516
20480.000 60.686 -123.954
20777.888 59.536 -129.446
21080.110 59.064 -134.538
21386.727 58.423 -146.299
21697.804 56.081 -161.635
22013.406 55.005 166.297
