* Measurement data saved by REW V5.01 Beta 24
* Source: Microphone (2- USB Audio CODEC , MICROPHONE (Master Volume), Right channel, volume: 0.251
* Format:  512k Log Swept Sine, 1 sweep at -12.0 dB FS
* Dated: 07-Feb-2015 13:13:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 52.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 59.9 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
59.932 60.391 83.281
60.804 60.505 83.026
61.688 60.614 82.748
62.586 60.717 82.488
63.496 60.817 82.231
64.420 60.923 81.978
65.357 61.030 81.739
66.307 61.139 81.489
67.272 61.244 81.219
68.250 61.350 80.901
69.243 61.452 80.619
70.250 61.565 80.323
71.272 61.666 80.001
72.309 61.750 79.726
73.360 61.836 79.616
74.427 61.987 79.153
75.510 62.106 78.871
76.608 62.224 78.609
77.723 62.333 78.316
78.853 62.437 78.024
80.000 62.541 77.746
81.164 62.655 77.414
82.344 62.765 77.090
83.542 62.876 76.782
84.757 62.991 76.476
85.990 63.105 76.139
87.241 63.228 75.822
88.510 63.340 75.501
89.797 63.448 75.143
91.103 63.562 74.805
92.428 63.677 74.453
93.773 63.792 74.107
95.137 63.912 73.739
96.520 64.018 73.403
97.924 64.137 73.054
99.349 64.260 72.659
100.794 64.378 72.309
102.260 64.492 71.916
103.747 64.616 71.543
105.256 64.739 71.160
106.787 64.854 70.753
108.340 64.975 70.394
109.916 65.100 70.002
111.515 65.212 69.597
113.137 65.323 69.209
114.783 65.441 68.766
116.452 65.555 68.327
118.146 65.671 67.908
119.865 65.782 67.495
121.608 65.898 67.062
123.377 66.014 66.628
125.171 66.130 66.194
126.992 66.241 65.727
128.839 66.356 65.254
130.713 66.466 64.802
132.615 66.583 64.323
134.543 66.699 63.864
136.500 66.807 63.375
138.486 66.918 62.866
140.500 67.033 62.371
142.544 67.145 61.892
144.617 67.269 61.564
146.721 67.368 60.829
148.855 67.479 60.348
151.020 67.585 59.844
153.217 67.699 59.284
155.445 67.813 58.738
157.706 67.922 58.197
160.000 68.032 57.639
162.327 68.144 57.050
164.688 68.254 56.480
167.084 68.362 55.895
169.514 68.464 55.309
171.980 68.571 54.718
174.481 68.678 54.115
177.019 68.786 53.530
179.594 68.888 52.899
182.206 68.994 52.262
184.856 69.095 51.618
187.545 69.199 50.996
190.273 69.304 50.313
193.041 69.404 49.658
195.849 69.503 49.011
198.697 69.605 48.303
201.587 69.702 47.648
204.520 69.802 46.937
207.494 69.897 46.257
210.512 69.996 45.551
213.574 70.091 44.826
216.681 70.180 44.111
219.833 70.272 43.369
223.030 70.368 42.593
226.274 70.460 41.872
229.565 70.544 41.107
232.905 70.632 40.334
236.292 70.715 39.556
239.729 70.795 38.790
243.216 70.880 38.003
246.754 70.965 37.189
250.343 71.047 36.402
253.984 71.114 35.601
257.678 71.182 34.736
261.426 71.253 33.928
265.229 71.325 33.098
269.087 71.397 32.256
273.001 71.461 31.391
276.972 71.529 30.552
281.000 71.590 29.702
285.088 71.653 28.805
289.234 71.735 27.937
293.441 71.819 27.063
297.709 71.895 26.170
302.040 71.969 25.308
306.433 72.029 24.406
310.890 72.089 23.545
315.412 72.140 22.615
320.000 72.192 21.700
324.655 72.225 20.847
329.377 72.259 19.915
334.168 72.293 19.033
339.028 72.319 18.128
343.959 72.351 17.235
348.962 72.374 16.310
354.038 72.402 15.439
359.188 72.423 14.542
364.412 72.440 13.639
369.713 72.453 12.698
375.090 72.471 11.813
380.546 72.486 10.897
386.081 72.501 10.034
391.697 72.514 9.155
397.394 72.525 8.251
403.175 72.536 7.365
409.039 72.549 6.471
414.989 72.565 5.622
421.025 72.578 4.734
427.149 72.596 3.844
433.362 72.606 2.985
439.665 72.618 2.155
446.060 72.619 1.273
452.548 72.621 0.394
459.131 72.617 -0.487
465.809 72.619 -1.331
472.584 72.610 -2.219
479.458 72.609 -3.079
486.432 72.602 -3.946
493.507 72.596 -4.846
500.686 72.589 -5.720
507.968 72.585 -6.633
515.357 72.572 -7.503
522.853 72.569 -8.409
530.458 72.558 -9.318
538.174 72.555 -10.253
546.002 72.547 -11.211
553.943 72.550 -12.174
562.001 72.553 -13.138
570.175 72.532 -14.128
578.469 72.520 -15.141
586.883 72.506 -16.203
595.419 72.486 -17.244
604.080 72.457 -18.324
612.866 72.437 -19.379
621.780 72.408 -20.470
630.824 72.378 -21.631
640.000 72.334 -22.731
649.309 72.300 -23.945
658.753 72.252 -25.121
668.335 72.207 -26.345
678.056 72.146 -27.592
687.919 72.070 -28.749
697.925 71.983 -30.058
708.077 71.905 -31.314
718.376 71.833 -32.594
728.825 71.754 -33.887
739.426 71.681 -35.164
750.181 71.585 -36.459
761.093 71.489 -37.764
772.163 71.387 -39.011
783.394 71.281 -40.366
794.789 71.169 -41.635
806.349 71.048 -42.930
818.078 70.948 -44.234
829.977 70.884 -45.524
842.050 70.814 -46.805
854.298 70.692 -48.054
866.724 70.555 -49.355
879.330 70.419 -50.646
892.120 70.282 -51.964
905.097 70.140 -53.239
918.262 70.006 -54.499
931.618 69.862 -55.804
945.169 69.724 -57.096
958.917 69.590 -58.484
972.864 69.456 -59.871
987.015 69.323 -61.202
1001.371 69.185 -62.622
1015.937 69.058 -64.162
1030.714 68.929 -65.676
1045.706 68.805 -67.337
1060.916 68.693 -69.058
1076.347 68.570 -70.845
1092.003 68.470 -72.744
1107.887 68.394 -74.856
1124.001 68.294 -77.012
1140.350 68.196 -79.412
1156.937 68.075 -81.864
1173.765 67.966 -84.584
1190.838 67.856 -87.470
1208.159 67.770 -90.630
1225.732 67.655 -93.878
1243.561 67.542 -97.456
1261.649 67.417 -101.228
1280.000 67.290 -105.229
1298.618 67.165 -109.470
1317.507 67.036 -114.001
1336.670 66.904 -118.684
1356.113 66.778 -123.655
1375.838 66.664 -128.772
1395.850 66.566 -134.170
1416.153 66.468 -139.687
1436.751 66.400 -145.361
1457.649 66.349 -151.214
1478.851 66.320 -157.087
1500.362 66.324 -163.030
1522.185 66.369 -169.033
1544.326 66.442 -175.029
1566.789 66.536 179.025
1589.578 66.666 173.086
1612.699 66.829 167.259
1636.156 67.004 161.493
1659.955 67.201 155.825
1684.099 67.428 150.273
1708.595 67.654 144.778
1733.447 67.886 139.394
1758.661 68.105 134.104
1784.241 68.323 128.899
1810.193 68.511 123.806
1836.523 68.702 118.758
1863.236 68.856 113.835
1890.337 68.990 109.074
1917.833 69.076 104.366
1945.729 69.154 99.887
1974.030 69.176 95.543
2002.743 69.172 91.418
2031.873 69.146 87.503
2061.428 69.069 83.802
2091.412 68.964 80.300
2121.832 68.804 77.133
2152.695 68.630 74.230
2184.006 68.432 71.721
2215.774 68.221 69.460
2248.003 68.031 67.698
2280.701 67.840 66.267
2313.874 67.686 65.140
2347.530 67.586 64.146
2381.676 67.490 63.310
2416.318 67.417 62.524
2451.464 67.371 61.594
2487.122 67.342 60.585
2523.298 67.305 59.603
2560.000 67.249 58.559
2597.236 67.204 57.404
2635.014 67.144 56.267
2673.341 67.070 55.071
2712.226 66.972 53.810
2751.676 66.835 52.623
2791.700 66.654 51.362
2832.306 66.431 50.410
2873.503 66.182 49.637
2915.299 65.880 49.369
2957.703 65.553 49.502
3000.724 65.248 50.236
3044.370 64.960 51.690
3088.652 64.733 53.852
3133.577 64.630 56.345
3179.156 64.648 59.153
3225.398 64.822 61.765
3272.312 65.116 63.788
3319.909 65.455 64.966
3368.198 65.813 65.280
3417.190 66.110 64.866
3466.894 66.316 64.032
3517.321 66.407 63.323
3568.482 66.466 63.062
3620.387 66.537 63.104
3673.046 66.646 63.435
3726.472 66.728 64.012
3780.675 66.939 64.646
3835.666 67.236 65.259
3891.457 67.513 65.439
3948.060 67.876 64.547
4005.486 68.250 62.672
4063.747 68.470 60.160
4122.855 68.438 57.708
4182.824 68.403 55.905
4243.664 68.302 54.771
4305.390 68.262 54.256
4368.013 68.248 54.137
4431.547 68.277 54.664
4496.006 68.416 55.643
4561.401 68.780 56.364
4627.749 69.215 55.919
4695.061 69.624 54.240
4763.352 69.898 51.876
4832.636 70.054 49.569
4902.929 70.152 47.587
4974.244 70.212 46.550
5046.596 70.269 45.587
5120.000 70.491 44.853
5194.472 70.829 43.627
5270.027 71.260 41.794
5346.682 71.662 38.754
5424.451 71.946 34.915
5503.352 72.098 30.594
5583.400 72.116 26.744
5664.612 72.105 23.137
5747.006 72.068 19.472
5830.598 71.962 15.822
5915.406 71.789 12.641
6001.447 71.559 9.792
6088.740 71.250 6.769
6177.303 70.893 3.819
6267.154 70.521 0.981
6358.312 70.266 -1.928
6450.796 69.953 -5.515
6544.625 69.420 -9.733
6639.819 68.683 -13.547
6736.397 67.711 -15.732
6834.380 66.556 -16.297
6933.788 65.302 -14.106
7034.643 64.214 -7.245
7136.964 63.798 2.730
7240.773 64.208 11.573
7346.093 65.204 17.026
7452.944 66.230 18.112
7561.350 66.967 17.179
7671.332 67.624 16.396
7782.914 68.397 14.144
7896.119 68.955 9.388
8010.971 69.211 3.816
8127.493 69.212 -1.978
8245.710 68.547 -6.582
8365.647 67.829 -8.308
8487.328 67.257 -8.191
8610.779 67.230 -7.243
8736.026 67.559 -6.985
8863.094 67.932 -8.495
8992.011 68.107 -11.199
9122.803 68.358 -15.338
9255.497 68.393 -20.290
9390.121 68.333 -24.452
9526.704 68.190 -28.625
9665.273 67.898 -32.067
9805.858 67.762 -36.078
9948.487 67.294 -40.849
10093.191 66.680 -43.741
10240.000 66.057 -44.782
10388.944 65.710 -44.209
10540.055 65.566 -45.551
10693.364 65.118 -46.815
10848.902 64.811 -46.057
11006.703 64.712 -44.355
11166.799 65.112 -43.855
11329.224 65.460 -46.565
11494.011 65.639 -50.256
11661.196 65.439 -54.455
11830.812 65.091 -56.720
12002.895 64.823 -57.524
12177.481 64.851 -57.146
12354.606 65.166 -58.298
12534.308 65.646 -61.586
12716.624 65.864 -67.062
12901.592 65.890 -72.847
13089.250 65.745 -78.915
13279.637 65.275 -85.162
13472.794 64.544 -88.274
13668.760 64.357 -89.402
13867.577 64.383 -93.425
14069.285 63.895 -99.307
14273.928 63.227 -102.271
14481.547 62.889 -102.561
14692.186 63.101 -105.000
14905.889 63.350 -110.673
15122.700 63.026 -117.504
15342.664 62.757 -124.040
15565.829 62.095 -132.746
15792.239 60.586 -139.250
16021.942 59.532 -137.349
16254.987 59.390 -136.856
16491.421 59.213 -140.521
16731.294 58.882 -145.039
16974.657 58.338 -147.786
17221.559 58.454 -148.013
17472.052 59.433 -158.154
17726.189 58.950 -176.827
17984.022 57.163 167.431
18245.606 54.470 150.976
18510.994 49.203 135.811
18780.243 37.587 143.827
19053.408 44.056 -93.585
19330.546 51.442 -109.330
19611.715 53.923 -129.384
19896.974 54.589 -147.044
20186.382 54.322 -161.917
20480.000 53.895 -173.585
20777.888 53.466 175.343
21080.110 52.931 159.409
21386.727 51.973 133.825
21697.804 49.972 102.255
22013.406 42.201 9.728
