* Measurement data saved by REW V5.01 Beta 24
* Source: Microphone (2- USB Audio CODEC , MICROPHONE (Master Volume), Right channel, volume: 0.251
* Format:  512k Log Swept Sine, 1 sweep at -12.0 dB FS
* Dated: 07-Feb-2015 13:12:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 45
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 59.9 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
59.932 60.449 83.192
60.804 60.563 82.936
61.688 60.672 82.657
62.586 60.775 82.397
63.496 60.875 82.138
64.420 60.981 81.885
65.357 61.088 81.645
66.307 61.198 81.394
67.272 61.304 81.123
68.250 61.410 80.803
69.243 61.512 80.521
70.250 61.625 80.224
71.272 61.726 79.901
72.309 61.810 79.624
73.360 61.897 79.514
74.427 62.048 79.049
75.510 62.167 78.766
76.608 62.285 78.502
77.723 62.395 78.208
78.853 62.500 77.915
80.000 62.603 77.636
81.164 62.717 77.302
82.344 62.828 76.976
83.542 62.940 76.667
84.757 63.055 76.359
85.990 63.169 76.021
87.241 63.292 75.703
88.510 63.405 75.380
89.797 63.514 75.020
91.103 63.628 74.680
92.428 63.744 74.327
93.773 63.858 73.978
95.137 63.979 73.608
96.520 64.085 73.270
97.924 64.205 72.919
99.349 64.328 72.523
100.794 64.447 72.170
102.260 64.561 71.776
103.747 64.685 71.400
105.256 64.809 71.015
106.787 64.925 70.605
108.340 65.046 70.245
109.916 65.171 69.850
111.515 65.284 69.442
113.137 65.396 69.051
114.783 65.514 68.606
116.452 65.629 68.164
118.146 65.746 67.742
119.865 65.857 67.326
121.608 65.974 66.890
123.377 66.091 66.453
125.171 66.207 66.016
126.992 66.319 65.546
128.839 66.434 65.070
130.713 66.545 64.615
132.615 66.663 64.132
134.543 66.780 63.669
136.500 66.889 63.177
138.486 67.001 62.664
140.500 67.117 62.165
142.544 67.229 61.682
144.617 67.355 61.350
146.721 67.454 60.610
148.855 67.566 60.126
151.020 67.673 59.617
153.217 67.788 59.052
155.445 67.903 58.502
157.706 68.013 57.956
160.000 68.124 57.393
162.327 68.237 56.799
164.688 68.348 56.224
167.084 68.457 55.634
169.514 68.561 55.042
171.980 68.669 54.446
174.481 68.777 53.837
177.019 68.886 53.246
179.594 68.989 52.608
182.206 69.097 51.966
184.856 69.199 51.316
187.545 69.304 50.687
190.273 69.411 49.997
193.041 69.512 49.335
195.849 69.612 48.681
198.697 69.716 47.966
201.587 69.815 47.303
204.520 69.917 46.585
207.494 70.013 45.896
210.512 70.114 45.182
213.574 70.210 44.449
216.681 70.302 43.725
219.833 70.395 42.974
223.030 70.492 42.189
226.274 70.586 41.458
229.565 70.672 40.684
232.905 70.763 39.901
236.292 70.847 39.112
239.729 70.930 38.336
243.216 71.017 37.538
246.754 71.104 36.713
250.343 71.189 35.914
253.984 71.258 35.101
257.678 71.328 34.225
261.426 71.402 33.404
265.229 71.476 32.561
269.087 71.551 31.706
273.001 71.618 30.827
276.972 71.688 29.974
281.000 71.752 29.109
285.088 71.818 28.197
289.234 71.903 27.313
293.441 71.990 26.423
297.709 72.069 25.513
302.040 72.146 24.634
306.433 72.209 23.715
310.890 72.273 22.835
315.412 72.327 21.885
320.000 72.382 20.951
324.655 72.419 20.077
329.377 72.456 19.124
334.168 72.494 18.220
339.028 72.524 17.293
343.959 72.560 16.376
348.962 72.587 15.426
354.038 72.619 14.530
359.188 72.644 13.607
364.412 72.665 12.678
369.713 72.683 11.708
375.090 72.705 10.794
380.546 72.725 9.849
386.081 72.744 8.954
391.697 72.762 8.043
397.394 72.777 7.106
403.175 72.793 6.186
409.039 72.811 5.257
414.989 72.831 4.370
421.025 72.849 3.445
427.149 72.872 2.516
433.362 72.887 1.617
439.665 72.904 0.745
446.060 72.910 -0.179
452.548 72.917 -1.101
459.131 72.917 -2.026
465.809 72.924 -2.915
472.584 72.921 -3.850
479.458 72.924 -4.757
486.432 72.922 -5.672
493.507 72.921 -6.621
500.686 72.919 -7.544
507.968 72.921 -8.507
515.357 72.913 -9.427
522.853 72.915 -10.384
530.458 72.910 -11.344
538.174 72.912 -12.330
546.002 72.910 -13.339
553.943 72.918 -14.354
562.001 72.927 -15.370
570.175 72.913 -16.412
578.469 72.907 -17.476
586.883 72.899 -18.590
595.419 72.886 -19.684
604.080 72.865 -20.817
612.866 72.852 -21.925
621.780 72.832 -23.069
630.824 72.810 -24.284
640.000 72.776 -25.441
649.309 72.752 -26.711
658.753 72.714 -27.946
668.335 72.680 -29.231
678.056 72.632 -30.542
687.919 72.568 -31.766
697.925 72.495 -33.145
708.077 72.431 -34.475
718.376 72.373 -35.835
728.825 72.310 -37.212
739.426 72.253 -38.581
750.181 72.174 -39.973
761.093 72.095 -41.383
772.163 72.012 -42.743
783.394 71.923 -44.220
794.789 71.831 -45.618
806.349 71.727 -47.052
818.078 71.646 -48.503
829.977 71.601 -49.950
842.050 71.548 -51.395
854.298 71.444 -52.815
866.724 71.323 -54.293
879.330 71.204 -55.768
892.120 71.081 -57.271
905.097 70.953 -58.734
918.262 70.831 -60.181
931.618 70.699 -61.669
945.169 70.571 -63.139
958.917 70.447 -64.696
972.864 70.323 -66.241
987.015 70.198 -67.716
1001.371 70.069 -69.265
1015.937 69.952 -70.915
1030.714 69.834 -72.520
1045.706 69.722 -74.251
1060.916 69.624 -76.020
1076.347 69.518 -77.834
1092.003 69.438 -79.739
1107.887 69.386 -81.834
1124.001 69.313 -83.952
1140.350 69.245 -86.293
1156.937 69.160 -88.663
1173.765 69.088 -91.279
1190.838 69.020 -94.037
1208.159 68.981 -97.042
1225.732 68.914 -100.105
1243.561 68.851 -103.465
1261.649 68.779 -106.981
1280.000 68.706 -110.684
1298.618 68.634 -114.578
1317.507 68.559 -118.711
1336.670 68.478 -122.938
1356.113 68.401 -127.394
1375.838 68.331 -131.937
1395.850 68.272 -136.701
1416.153 68.204 -141.529
1436.751 68.158 -146.469
1457.649 68.118 -151.551
1478.851 68.089 -156.632
1500.362 68.083 -161.780
1522.185 68.105 -167.000
1544.326 68.145 -172.246
1566.789 68.195 -177.488
1589.578 68.273 177.213
1612.699 68.377 171.952
1636.156 68.486 166.673
1659.955 68.615 161.409
1684.099 68.772 156.179
1708.595 68.928 150.928
1733.447 69.090 145.714
1758.661 69.242 140.530
1784.241 69.395 135.373
1810.193 69.520 130.280
1836.523 69.652 125.191
1863.236 69.750 120.197
1890.337 69.832 115.341
1917.833 69.868 110.527
1945.729 69.900 105.935
1974.030 69.881 101.482
2002.743 69.839 97.255
2031.873 69.780 93.249
2061.428 69.676 89.469
2091.412 69.550 85.897
2121.832 69.377 82.664
2152.695 69.197 79.688
2184.006 68.998 77.089
2215.774 68.793 74.712
2248.003 68.613 72.799
2280.701 68.432 71.181
2313.874 68.287 69.835
2347.530 68.193 68.600
2381.676 68.099 67.516
2416.318 68.024 66.485
2451.464 67.973 65.324
2487.122 67.936 64.101
2523.298 67.888 62.927
2560.000 67.821 61.713
2597.236 67.764 60.413
2635.014 67.691 59.162
2673.341 67.604 57.886
2712.226 67.496 56.582
2751.676 67.352 55.380
2791.700 67.170 54.124
2832.306 66.951 53.183
2873.503 66.712 52.419
2915.299 66.423 52.153
2957.703 66.115 52.282
3000.724 65.837 52.991
3044.370 65.586 54.367
3088.652 65.404 56.335
3133.577 65.344 58.456
3179.156 65.387 60.690
3225.398 65.548 62.585
3272.312 65.779 63.902
3319.909 66.011 64.553
3368.198 66.239 64.617
3417.190 66.404 64.214
3466.894 66.485 63.562
3517.321 66.454 63.147
3568.482 66.388 63.312
3620.387 66.334 63.974
3673.046 66.329 65.133
3726.472 66.314 66.715
3780.675 66.447 68.527
3835.666 66.697 70.504
3891.457 66.969 72.182
3948.060 67.376 72.813
4005.486 67.839 72.404
4063.747 68.189 71.247
4122.855 68.326 69.983
4182.824 68.494 69.156
4243.664 68.628 68.746
4305.390 68.855 68.580
4368.013 69.119 68.246
4431.547 69.381 67.949
4496.006 69.660 67.777
4561.401 70.073 67.476
4627.749 70.516 66.386
4695.061 70.941 64.359
4763.352 71.258 61.707
4832.636 71.471 58.965
4902.929 71.612 56.376
4974.244 71.692 54.640
5046.596 71.739 52.877
5120.000 71.895 51.327
5194.472 72.109 49.616
5270.027 72.414 47.789
5346.682 72.728 45.056
5424.451 72.970 41.598
5503.352 73.111 37.534
5583.400 73.115 33.725
5664.612 73.054 30.144
5747.006 72.944 26.779
5830.598 72.783 23.793
5915.406 72.613 21.552
6001.447 72.475 19.633
6088.740 72.339 17.093
6177.303 72.174 13.866
6267.154 71.929 10.127
6358.312 71.707 6.183
6450.796 71.364 1.779
6544.625 70.790 -3.009
6639.819 70.015 -7.369
6736.397 68.984 -10.138
6834.380 67.759 -11.299
6933.788 66.381 -10.061
7034.643 64.966 -3.801
7136.964 64.185 7.830
7240.773 64.572 19.473
7346.093 65.815 26.537
7452.944 67.138 27.589
7561.350 68.079 25.121
7671.332 68.673 22.030
7782.914 69.153 18.550
7896.119 69.417 13.593
8010.971 69.361 8.467
8127.493 69.131 3.929
8245.710 68.333 0.333
8365.647 67.423 -0.702
8487.328 66.576 0.679
8610.779 66.269 4.094
8736.026 66.554 7.838
8863.094 67.086 8.663
8992.011 67.337 7.410
9122.803 67.626 5.062
9255.497 67.698 1.861
9390.121 67.674 0.220
9526.704 67.715 -1.418
9665.273 67.622 -2.544
9805.858 67.745 -4.057
9948.487 67.599 -6.240
10093.191 67.474 -6.211
10240.000 67.613 -5.524
10388.944 68.006 -5.509
10540.055 68.451 -7.813
10693.364 68.653 -10.426
10848.902 69.022 -12.359
11006.703 69.468 -15.632
11166.799 69.950 -20.740
11329.224 70.109 -27.917
11494.011 69.923 -34.286
11661.196 69.564 -39.474
11830.812 69.239 -43.693
12002.895 68.929 -48.508
12177.481 68.410 -52.222
12354.606 68.026 -55.458
12534.308 67.756 -59.167
12716.624 67.257 -64.575
12901.592 66.379 -68.774
13089.250 65.302 -70.663
13279.637 64.258 -68.912
13472.794 63.693 -63.979
13668.760 64.057 -60.164
13867.577 64.573 -60.836
14069.285 64.699 -65.220
14273.928 64.412 -68.566
14481.547 64.124 -69.300
14692.186 64.304 -70.694
14905.889 64.476 -74.505
15122.700 64.234 -78.149
15342.664 64.278 -81.815
15565.829 63.882 -88.814
15792.239 62.626 -92.476
16021.942 62.075 -87.187
16254.987 62.714 -85.320
16491.421 63.244 -89.245
16731.294 63.493 -94.873
16974.657 63.425 -99.802
17221.559 63.747 -102.178
17472.052 64.792 -111.999
17726.189 64.598 -128.775
17984.022 63.490 -141.060
18245.606 62.389 -152.275
18510.994 60.876 -162.812
18780.243 59.400 -174.074
19053.408 56.656 171.496
19330.546 52.080 163.070
19611.715 46.393 176.042
19896.974 44.260 -138.706
20186.382 48.488 -124.044
20480.000 49.567 -135.984
20777.888 48.598 -138.597
21080.110 48.840 -141.210
21386.727 49.084 -162.823
21697.804 47.716 160.803
22013.406 41.934 152.564
